scripts,is BB
https://bcdn-f4e48049.we-stats.com/scripts/f4e48049/f4e48049ver2.js,0
https://internetbanking.tsb.co.uk/sites/ruxitagentjs_ICANQVfghqrux_10305241108083525.js,0
https://app.laybuy.com/assets/web-prod-sdk-2023-10-17-59c9a62a.js,0
https://js.datadome.co/tags.js,0
https://www.citi.com/cbol-pre-login-static-assets/cbol-core-assets/cedric/cedric.js,0
https://tags.tiqcdn.com/utag/hsbc/hk-cmb-hangseng-ib/prod/utag.327.js?utv=ut4.51.202202230956,0
https://rdp.hangseng.com/JavascriptInsert.js,0
https://www1.biz-ebanking.hangseng.com/portalserver/static/features/%5BBBHOST%5D/hase-dbb-portal-pilot/static/js/adrum/adrum.js,0
https://banco.itau.co/documents/d/global/6ba63f79,0
https://bcdn.openbank.com/scripts/8013fd3e/8013fd3e.js,0
https://secure2.bac-assets.com/sparta/client/helper/spa-assets/components/utilities/client-helper/behbio/vendb/4.0.0/js/vendb.js,0
https://aero.bankofamerica.com/30306/kurt.js,0
https://rail.bankofamerica.com/30306/hover.js?dt=login&r=0.14467041921987145,0
https://tags.tiqcdn.com/utag/bofa/main/prod/utag.119.js?utv=ut4.48.202412121846,0
https://tags.tiqcdn.com/utag/bofa/main/prod/utag.62.js?utv=ut4.48.202411160258,0
https://tags.tiqcdn.com/utag/hsbc/hk-cmb-gbb/prod/utag.454.js?utv=ut4.42.202207081206,0
https://bcdn.td.com/scripts/dfb31537/dfb31537.js,0
https://www.onlinebanking.natwest.com/polyfills-SCHOHYNV.js,0
https://77f6909ddbad.eu-west-2.sdk.awswaf.com/77f6909ddbad/14e7da7de026/challenge.js,0
https://bcdn-analytics.anz.com/scripts/278ebc47/278ebc47_2.34.0.js,0
https://ctmdx.anz.com/947684/hyptxt.js?dt=login&r=0.8179416952364503,0
https://ctmdx.anz.com/947684/tinveli.js,0
https://www.commbank.com.au/content/dam/netbank/resources/2a817845/2a817845.js,0
https://www.my.commbank.com.au/R6JdjzQFAZc3la93cA/kOEEVr4pDrD8Or5E/BVlZblY_cBA/cFkQ/BkIiMwcB,0
https://images.synchronycredit.com/assets/ignite-authorization/bcp.js,0
https://auth.synchronybank.com/PSQUnYuA/2JoQuQk/sNw-fhy/IL/EY1a2zkfLVJrk7Sa/FUc-Ej0B/IAZHKgsD/QUc,0
https://auth.synchronybank.com/account/js/bootstrapper.js,0
https://auth.synchronybank.com/account/iojs/general5/static_wdp.js?loaderVer=5.1.0&compat=false&tp=true&tp_split=false&fp_static=true&fp_dyn=true&flash=false,0
https://mpsnare.iesnare.com/general5/wdp.js?loaderVer=5.1.0&compat=false&tp=true&tp_split=false&fp_static=true&fp_dyn=true&flash=true,0
https://bcdn.suncorpbank.com.au/scripts/b45f5437/b45f5437.js,0
https://banking.bendigobank.com.au/static/assets/javascripts/betty-v1.js,0
https://onlinebanking.mtb.com/Assets/js/kessel-client-prod.js,0
https://cdn.quantummetric.com/qscripts/quantum-mtb.js,0
https://onlinebanking.nationwide.co.uk/Scripts/788fdc13.js,0
https://bcdn-god.we-stats.com/scripts/c9a01b2f/aa556411.js,0
https://edge.fullstory.com/s/fs.js,0
https://mpsnare.iesnare.com/general5/wdp.js?loaderVer=5.2.2&compat=false&tp=true&tp_split=false&fp_static=true&fp_dyn=true&flash=false,0
